cTag;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98283"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.353"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.2608"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1245"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.3971"
0,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1258"
0,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0199"
0,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.2318"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.023"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94932"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0966"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.087"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0096"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.1644"
0,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0347"
0,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.92707"
0,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.1424"
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1189"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0414"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1965"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1722"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.1099"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.2345"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1379"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0826"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1932"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0075"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93091"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0841"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94547"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.87253"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0184"
1,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.9499"
1,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.78422"
1,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.1156"
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9493"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90172"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99689"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95407"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91085"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9973"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.95201"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9165"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98753"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0064"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96202"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0508"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.97263"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.91942"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.0258"
2,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.96161"
2,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.83554"
2,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.0877"
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1-(0.0330601+1.29253e-05*x+-1.37667e-08*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1-(0.0110991+3.27354e-05*x+-3.23517e-08*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1-(0.0306549))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1+(0.0330601+1.29253e-05*x+-1.37667e-08*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1+(0.0110991+3.27354e-05*x+-3.23517e-08*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.983435+0.000110235*x+-3.07762e-07*x*x+2.21444e-10*x*x*x)*(1+(0.0306549))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1-(0.0540427+-6.44284e-05*x+5.75482e-08*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1-(0.0417124+-8.66639e-05*x+7.77956e-08*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1-(0.0327609))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1+(0.0540427+-6.44284e-05*x+5.75482e-08*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1+(0.0417124+-8.66639e-05*x+7.77956e-08*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09841+-0.000997623*x+2.00026e-06*x*x+-1.18311e-09*x*x*x)*(1+(0.0327609))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1-(0.0715851+-6.27148e-05*x+5.99183e-08*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1-(0.0587486+-8.07543e-05*x+7.70576e-08*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1-(0.0409998))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1+(0.0715851+-6.27148e-05*x+5.99183e-08*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1+(0.0587486+-8.07543e-05*x+7.70576e-08*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.09092+-0.00125718*x+2.52445e-06*x*x+-1.46466e-09*x*x*x)*(1+(0.0409998))"
